date,store_name,store_id,device_id,gps_location
1610988550000,Renault,place_237,43493,POINT (13.395566 52.46568900000001)
1610965848000,Rewe,place_161,59915,POINT (13.5087 52.45078)
1610982110000,Rewe,place_211,49047,POINT (13.594018 52.5295997)
1610991735000,Kaufland,place_224,46153,POINT (13.1854131 52.52116070000001)
1610981941000,Rewe,place_200,49145,POINT (13.2806666 52.3965199)
1610960251000,Rewe,place_200,49145,POINT (13.2805963 52.3965625)
1610958033000,Rewe,place_158,34230,POINT (13.5597196 52.4866578)
1610984906000,Kaufland,place_214,40033,POINT (13.444699 52.56363760000001)
1610983907000,Kaufland,place_223,42298,POINT (13.5056 52.54838)
1610965182000,Rewe,place_161,59915,POINT (13.50849 52.45072)
1611049935000,Rewe,place_193,53250,POINT (13.4062262 52.3533108)
1611073685000,Rewe,place_171,148379,POINT (13.470514 52.528726)
1610983194000,Kaufland,place_214,50834,POINT (13.4445984 52.564111)
1611069806000,Rewe,place_192,1169,POINT (13.45925 52.505848)
1611061615000,Kaufland,place_225,8748,POINT (13.3677665 52.46135210000001)
1611041311000,Kaufland,place_216,10236,POINT (13.3772546 52.46834870000001)
1611059532000,Rewe,place_209,52891,POINT (13.4404869 52.3947897)
1611066911000,Aldi,place_136,11492,POINT (13.3272758 52.4584091)
1611075589000,McDonald's,place_22,67766,POINT (13.5988612 52.59558440000001)
1611091245000,Kaufland,place_216,10236,POINT (13.3772546 52.46834870000001)
1611061356000,Rewe,place_203,13360,POINT (13.4932105 52.41297270000001)
1611083335000,Kaufland,place_216,10236,POINT (13.3772546 52.46834870000001)
1611066623000,Aldi,place_136,11492,POINT (13.3272647 52.45847190000001)
1611072594000,Rewe,place_205,1926,POINT (13.61434 52.51189)
1611068331000,Kaufland,place_214,2661,POINT (13.44496 52.56399999999999)
1611097043000,McDonald's,place_31,2479,POINT (13.4351633 52.509375)
1611062394000,Lexus,place_245,15520,POINT (13.5213898 52.5268171)
1611055099000,Rewe,place_205,12633,POINT (13.61425 52.51191)
1611058553000,Lexus,place_245,15520,POINT (13.5217646 52.52646609999999)
1611049476000,Lexus,place_245,15520,POINT (13.5213454 52.5268196)
1611097909000,Kaufland,place_216,10236,POINT (13.3772546 52.46834870000001)
1611071179000,Kaufland,place_223,160533,POINT (13.50499 52.5481065)
1611054952000,Kaufland,place_214,8706,POINT (13.4455157 52.5642616)
1611068595000,Rewe,place_177,12433,POINT (13.4120707 52.3616229)
1610968374000,Kaufland,place_218,129890,POINT (13.240598 52.396156)
1611067525000,Kaufland,place_215,51123,POINT (13.21876 52.53807610000001)
1611038212000,Rewe,place_148,7558,POINT (13.5212276 52.4984119)
1611079924000,Rewe,place_141,10342,POINT (13.243902 52.614944)
1611055219000,Kaufland,place_223,15017,POINT (13.5049991 52.5481606)
1611073186000,Rewe,place_178,160950,POINT (13.2628412 52.3870031)
1611073892000,Rewe,place_178,160950,POINT (13.262888 52.3868085)
1610968320000,Kaufland,place_218,129890,POINT (13.240591 52.396164)
1611073672000,Rewe,place_171,148379,POINT (13.470553 52.52876)
1610984210000,Kaufland,place_214,50834,POINT (13.4453343 52.5640813)
1611089233000,Kaufland,place_214,14115,POINT (13.4453961 52.5641726)
1610980050000,Rewe,place_190,49970,POINT (13.5153071 52.6409225)
1611060452000,Rewe,place_209,52891,POINT (13.4405699 52.3948768)
1611056189000,Lexus,place_245,15520,POINT (13.5204991 52.5263951)
