date,store_name,store_id,device_id,gps_location,addidas,apple,bmw,employed,female,high_income,honda,h_&_m,job_seeking,low_income,male,mercedes-benz,middle_income,retired,student,tommy_helfinger
2021-01-05,Kaufland,place_213,15553,POINT (13.328677 52.567673),0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_224,16207,POINT (13.1865764 52.5211168),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_213,16140,POINT (13.32903 52.567762),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-05,Kaufland,place_218,88676,POINT (13.2407637 52.3962106),0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2021-01-05,Kaufland,place_227,18326,POINT (13.2143446 52.5295877),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_145,21160,POINT (13.5567588 52.5683982),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2021-01-05,Kaufland,place_227,18326,POINT (13.2144083 52.5294701),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_225,27224,POINT (13.3678663 52.46237120000001),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Rewe,place_138,22618,POINT (13.5445763 52.6770695),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_227,18326,POINT (13.2143451 52.5295726),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_214,18321,POINT (13.4443403 52.5637028),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_138,22618,POINT (13.5447918 52.6772167),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,McDonald's,place_28,77108,POINT (13.386316 52.5203325),0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2021-01-05,McDonald's,place_33,16958,POINT (13.368368 52.525767),0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_224,29872,POINT (13.1857201 52.5209315),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_138,30779,POINT (13.5443603 52.6770529),0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Kaufland,place_215,59158,POINT (13.21813 52.53776),0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
2021-01-05,Kaufland,place_227,32779,POINT (13.21443 52.52911),0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Mercedes,place_234,27278,POINT (13.329327 52.459864),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Aldi,place_132,55548,POINT (13.339567 52.6051264),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_215,14129,POINT (13.21895 52.538569),0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2021-01-05,Aldi,place_87,25419,POINT (13.362227 52.4517958),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Aldi,place_136,34791,POINT (13.3273243 52.458621),0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_225,13747,POINT (13.36796 52.46233),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Renault,place_238,78319,POINT (13.368412 52.48539),0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2021-01-05,Aldi,place_132,55548,POINT (13.339542 52.60517460000001),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_191,26313,POINT (13.52929 52.62945),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Aldi,place_116,23856,POINT (13.6355276 52.5365212),0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_138,30779,POINT (13.5446747 52.6772059),0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Kaufland,place_224,16207,POINT (13.1865722 52.5211816),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Aldi,place_119,15687,POINT (13.4126859 52.4015848),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_148,23491,POINT (13.5219667 52.4982571),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_213,15553,POINT (13.328792 52.567575),0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_225,27224,POINT (13.3674766 52.4621562),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Kaufland,place_225,13747,POINT (13.36794 52.46215),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_224,29872,POINT (13.1856627 52.52094150000001),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_215,15418,POINT (13.2190031 52.5377764),1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_224,16207,POINT (13.1866096 52.521286),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_223,22403,POINT (13.50556 52.54813000000001),0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2021-01-05,Rewe,place_203,41255,POINT (13.49327 52.41298),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2021-01-06,Rewe,place_154,51924,POINT (13.584569 52.4253478),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Rewe,place_198,49393,POINT (13.3695771 52.52415010000001),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_173,47976,POINT (13.3550215 52.4126716),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_204,38389,POINT (13.291529 52.583189),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Rewe,place_148,49501,POINT (13.5216895 52.4984339),1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_198,49393,POINT (13.3695776 52.5241635),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Aldi,place_79,35578,POINT (13.27112 52.43913000000001),0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_214,38206,POINT (13.44456 52.56347),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_203,41255,POINT (13.49326 52.41296),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2021-01-06,Kaufland,place_217,83426,POINT (13.37308 52.55896),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-06,Rewe,place_154,51924,POINT (13.5845719 52.42536079999999),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Aldi,place_101,60640,POINT (13.45832 52.52674),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2021-01-05,Aldi,place_135,47047,POINT (13.578124 52.5666058),0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2021-01-06,McDonald's,place_1,3511,POINT (13.4610756 52.4706542),0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Aldi,place_89,73396,POINT (13.3566279 52.53761120000001),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Aldi,place_70,46790,POINT (13.465054 52.597166),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-05,Mercedes,place_233,35736,POINT (13.43963 52.50664),0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_216,89293,POINT (13.3775429 52.4684494),0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2021-01-05,Kaufland,place_224,48600,POINT (13.1855009 52.5210021),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-05,Rewe,place_203,41255,POINT (13.49332 52.41293),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2021-01-05,Kaufland,place_217,37721,POINT (13.373966 52.5591137),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_200,49145,POINT (13.2804228 52.3967504),0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-05,Rewe,place_203,41255,POINT (13.49332 52.41295),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2021-01-06,Rewe,place_154,51924,POINT (13.5845982 52.4253677),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Aldi,place_136,34791,POINT (13.3271735 52.4585178),0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_159,82052,POINT (13.365295 52.571899),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
